geoid,date,mean_prcp
48029110100,2008-09-02,0
48029110300,2008-09-02,0
48029110500,2008-09-02,0
48029120300,2008-09-02,0
48029120702,2008-09-02,0
48029121108,2008-09-02,0
48029121115,2008-09-02,0
48029121120,2008-09-02,0
48029121205,2008-09-02,0
48029121505,2008-09-02,0
48029121601,2008-09-02,0
48029121803,2008-09-02,0
48029121808,2008-09-02,0
48029121813,2008-09-02,0
48029121909,2008-09-02,0
48029130500,2008-09-02,0
48029131000,2008-09-02,0
48029131300,2008-09-02,0
48029131505,2008-09-02,0
48029131610,2008-09-02,0
48029131802,2008-09-02,0
48029140500,2008-09-02,0
48029140900,2008-09-02,0
48029141402,2008-09-02,0
48029150100,2008-09-02,0
48029150501,2008-09-02,0
48029150900,2008-09-02,0
48029151400,2008-09-02,0
48039664300,2008-09-02,0
48039990000,2008-09-02,0
48041000300,2008-09-02,0
48041000604,2008-09-02,0
48041001100,2008-09-02,0
48041001601,2008-09-02,0
48041001701,2008-09-02,0
48041001804,2008-09-02,0
48041002006,2008-09-02,0
48041002011,2008-09-02,0
48041002015,2008-09-02,0
48043950500,2008-09-02,3.4442968368530273
48047950200,2008-09-02,0
48049950800,2008-09-02,0
48049951300,2008-09-02,0
48051970200,2008-09-02,0
48051970400,2008-09-02,0
48055960200,2008-09-02,0
48057000200,2008-09-02,0
48057000500,2008-09-02,0
48057990000,2008-09-02,NA
48061010401,2008-09-02,0
48061010601,2008-09-02,0
48061011000,2008-09-02,0
48061011500,2008-09-02,0
48061012304,2008-09-02,0
48061012402,2008-09-02,0
48029152201,2008-09-02,0
48029160100,2008-09-02,0
48029160501,2008-09-02,0
48029160702,2008-09-02,0
48029161302,2008-09-02,0
48029161501,2008-09-02,0
48029161801,2008-09-02,0
48029170101,2008-09-02,0
48029170102,2008-09-02,0
48029170500,2008-09-02,0
48029171000,2008-09-02,0
48029171501,2008-09-02,0
48029171700,2008-09-02,0
48029171913,2008-09-02,0
48029171917,2008-09-02,0
48029171922,2008-09-02,0
48029180102,2008-09-02,0
48029180501,2008-09-02,0
48029180603,2008-09-02,0
48029181001,2008-09-02,0
48029181005,2008-09-02,0
48029181303,2008-09-02,0
48029181506,2008-09-02,0
48029181711,2008-09-02,0
48029181718,2008-09-02,0
48029181725,2008-09-02,0
48029181729,2008-09-02,0
48029181813,2008-09-02,0
48029181817,2008-09-02,0
48029181821,2008-09-02,0
48029181822,2008-09-02,0
48029181823,2008-09-02,0
48029182102,2008-09-02,0
48029190100,2008-09-02,0
48029190503,2008-09-02,0
48029190700,2008-09-02,0
48029191004,2008-09-02,0
48029191201,2008-09-02,0
48029191408,2008-09-02,0
48029191413,2008-09-02,0
48029191806,2008-09-02,0
48029191810,2008-09-02,0
48029191815,2008-09-02,0
48029980002,2008-09-02,0
48029980003,2008-09-02,0
48035950400,2008-09-02,0
48035950500,2008-09-02,0
48037010100,2008-09-02,16.98836326599121
48037011000,2008-09-02,15.64297866821289
48037011700,2008-09-02,9.503826141357422
48039660100,2008-09-02,0
48039660701,2008-09-02,0
48039661100,2008-09-02,0
48039661700,2008-09-02,0
48039662000,2008-09-02,0
48039662300,2008-09-02,0
48039663200,2008-09-02,0
48039663300,2008-09-02,0
48001950401,2008-09-02,0
48001950500,2008-09-02,3.1534583568573
48001950901,2008-09-02,1.7544891834259033
