geoid,date,mean_prcp
48029110100,2005-09-18,0
48029110300,2005-09-18,0
48029110500,2005-09-18,0
48029120300,2005-09-18,0
48029120702,2005-09-18,0
48029121108,2005-09-18,0
48029121115,2005-09-18,0
48029121120,2005-09-18,0
48029121205,2005-09-18,0
48029121505,2005-09-18,0
48029121601,2005-09-18,0
48029121803,2005-09-18,0
48029121808,2005-09-18,0
48029121813,2005-09-18,0
48029121909,2005-09-18,0
48029130500,2005-09-18,0
48029131000,2005-09-18,0
48029131300,2005-09-18,0
48029131505,2005-09-18,0
48029131610,2005-09-18,0
48029131802,2005-09-18,0
48029140500,2005-09-18,0
48029140900,2005-09-18,0
48029141402,2005-09-18,0
48029150100,2005-09-18,0
48029150501,2005-09-18,0
48029150900,2005-09-18,0
48029151400,2005-09-18,0
48039664300,2005-09-18,0
48039990000,2005-09-18,0
48041000300,2005-09-18,0
48041000604,2005-09-18,0
48041001100,2005-09-18,0
48041001601,2005-09-18,0
48041001701,2005-09-18,0
48041001804,2005-09-18,0
48041002006,2005-09-18,0
48041002011,2005-09-18,0
48041002015,2005-09-18,0
48043950500,2005-09-18,0
48047950200,2005-09-18,0
48049950800,2005-09-18,0
48049951300,2005-09-18,0
48051970200,2005-09-18,0
48051970400,2005-09-18,0
48055960200,2005-09-18,0
48057000200,2005-09-18,0
48057000500,2005-09-18,0
48057990000,2005-09-18,NA
48061010401,2005-09-18,0
48061010601,2005-09-18,0
48061011000,2005-09-18,0
48061011500,2005-09-18,0
48061012304,2005-09-18,0
48061012402,2005-09-18,0
48029152201,2005-09-18,0
48029160100,2005-09-18,0
48029160501,2005-09-18,0
48029160702,2005-09-18,0
48029161302,2005-09-18,0
48029161501,2005-09-18,0
48029161801,2005-09-18,0
48029170101,2005-09-18,0
48029170102,2005-09-18,0
48029170500,2005-09-18,0
48029171000,2005-09-18,0
48029171501,2005-09-18,0
48029171700,2005-09-18,0
48029171913,2005-09-18,0
48029171917,2005-09-18,0
48029171922,2005-09-18,0
48029180102,2005-09-18,0
48029180501,2005-09-18,0
48029180603,2005-09-18,0
48029181001,2005-09-18,0
48029181005,2005-09-18,0
48029181303,2005-09-18,0
48029181506,2005-09-18,0
48029181711,2005-09-18,0
48029181718,2005-09-18,0
48029181725,2005-09-18,0
48029181729,2005-09-18,0
48029181813,2005-09-18,0
48029181817,2005-09-18,0
48029181821,2005-09-18,0
48029181822,2005-09-18,0
48029181823,2005-09-18,0
48029182102,2005-09-18,0
48029190100,2005-09-18,0
48029190503,2005-09-18,0
48029190700,2005-09-18,0
48029191004,2005-09-18,0
48029191201,2005-09-18,0
48029191408,2005-09-18,0
48029191413,2005-09-18,0
48029191806,2005-09-18,0
48029191810,2005-09-18,0
48029191815,2005-09-18,0
48029980002,2005-09-18,0
48029980003,2005-09-18,0
48035950400,2005-09-18,0
48035950500,2005-09-18,0
48037010100,2005-09-18,0
48037011000,2005-09-18,0
48037011700,2005-09-18,0
48039660100,2005-09-18,0
48039660701,2005-09-18,0
48039661100,2005-09-18,0
48039661700,2005-09-18,0
48039662000,2005-09-18,0
48039662300,2005-09-18,0
48039663200,2005-09-18,0
48039663300,2005-09-18,0
48001950401,2005-09-18,0
48001950500,2005-09-18,0
48001950901,2005-09-18,0
48001950902,2005-09-18,0
48001951000,2005-09-18,0
48005000400,2005-09-18,0
48005001100,2005-09-18,0
48005001200,2005-09-18,0
48005001300,2005-09-18,0
48007950100,2005-09-18,0
48009020200,2005-09-18,0
48009020300,2005-09-18,0
48013960201,2005-09-18,0
48013960600,2005-09-18,0
48017950100,2005-09-18,0
48021950200,2005-09-18,0
48021950600,2005-09-18,0
48023950300,2005-09-18,0
48025950202,2005-09-18,0
48027020401,2005-09-18,0
48027020701,2005-09-18,0
48027021301,2005-09-18,0
48027021602,2005-09-18,0
48027022101,2005-09-18,0
48027022105,2005-09-18,0
48027022403,2005-09-18,0
48027022600,2005-09-18,0
48027023106,2005-09-18,0
48027023203,2005-09-18,0
48027023500,2005-09-18,0
48113008200,2005-09-18,0
48113008400,2005-09-18,0
48113008500,2005-09-18,0
48113008604,2005-09-18,0
48113008705,2005-09-18,0
48113009103,2005-09-18,0
48113009104,2005-09-18,0
48113009202,2005-09-18,0
48113009402,2005-09-18,0
48113009607,2005-09-18,0
48113009609,2005-09-18,0
48113009803,2005-09-18,0
48113010101,2005-09-18,0
48113010704,2005-09-18,0
48113010805,2005-09-18,0
48113011101,2005-09-18,0
48113011401,2005-09-18,0
48113011701,2005-09-18,0
48113012204,2005-09-18,0
48113012210,2005-09-18,0
48113012601,2005-09-18,0
48113013009,2005-09-18,0
48113013104,2005-09-18,0
48113013400,2005-09-18,0
48113013607,2005-09-18,0
48113013615,2005-09-18,0
48113013618,2005-09-18,0
48113013624,2005-09-18,0
48113013713,2005-09-18,0
48113013717,2005-09-18,0
48113013720,2005-09-18,0
48113013804,2005-09-18,0
48061012506,2005-09-18,0
48061012608,2005-09-18,0
48061012900,2005-09-18,0
48061013004,2005-09-18,0
48061013203,2005-09-18,0
48061013303,2005-09-18,0
48061013308,2005-09-18,0
48061013600,2005-09-18,0
48061013802,2005-09-18,0
48061014002,2005-09-18,0
48061014500,2005-09-18,0
48067950100,2005-09-18,0
48067950200,2005-09-18,0
48067950600,2005-09-18,0
48069950200,2005-09-18,0
48073950300,2005-09-18,0
48073950400,2005-09-18,0
48073950801,2005-09-18,0
48073951000,2005-09-18,0
48075950200,2005-09-18,1.0541006326675415
48077030301,2005-09-18,0
48083950700,2005-09-18,0
48085030301,2005-09-18,0
48085030302,2005-09-18,0
48085030304,2005-09-18,0
48085030407,2005-09-18,0
48085030506,2005-09-18,0
48085030510,2005-09-18,0
48085030516,2005-09-18,0
48085030521,2005-09-18,0
48085030527,2005-09-18,0
48085030604,2005-09-18,0
48085030802,2005-09-18,0
48085030900,2005-09-18,0
48085031309,2005-09-18,0
48085031316,2005-09-18,0
48085031410,2005-09-18,0
48085031507,2005-09-18,0
48085031613,2005-09-18,0
48085031624,2005-09-18,0
48085031629,2005-09-18,0
48085031633,2005-09-18,0
48085031647,2005-09-18,0
48085031653,2005-09-18,0
48085031659,2005-09-18,0
48085031663,2005-09-18,0
48085031708,2005-09-18,0
48085031713,2005-09-18,0
48085031717,2005-09-18,0
48085031805,2005-09-18,0
48085032003,2005-09-18,0
48085032012,2005-09-18,0
48091310100,2005-09-18,0
48091310403,2005-09-18,0
48091310702,2005-09-18,0
48091310903,2005-09-18,0
48093950200,2005-09-18,0
48097000500,2005-09-18,0
48097000900,2005-09-18,0
48099010101,2005-09-18,0
48099010201,2005-09-18,0
48099010501,2005-09-18,0
