geoid,date,mean_prcp
0136530,2005-08-24,0
0136550,2005-08-24,0
0136576,2005-08-24,0
0136053,2005-08-24,0
0136017,2005-08-24,0
0136317,2005-08-24,0
0135184,2005-08-24,3.747828722000122
0135111,2005-08-24,4.508660316467285
0135957,2005-08-24,4.257889747619629
0136052,2005-08-24,0
0136032,2005-08-24,0
0136203,2005-08-24,0
0136855,2005-08-24,0
0136863,2005-08-24,0
0135959,2005-08-24,6.240124225616455
0136790,2005-08-24,0
0136558,2005-08-24,0
0136784,2005-08-24,0
0136446,2005-08-24,0
0136751,2005-08-24,0
0136256,2005-08-24,0
0136330,2005-08-24,0
0136034,2005-08-24,0
0135089,2005-08-24,0
0135183,2005-08-24,0
0136080,2005-08-24,0
0136455,2005-08-24,0
0136476,2005-08-24,0
0136046,2005-08-24,0
0135622,2005-08-24,5.794241428375244
0135033,2005-08-24,5.740905284881592
0135619,2005-08-24,5.00480318069458
0135771,2005-08-24,3.7242419719696045
0135975,2005-08-24,3.683882713317871
0135594,2005-08-24,6.444693088531494
0135585,2005-08-24,3.449850082397461
0136375,2005-08-24,0
0135469,2005-08-24,3.256774663925171
0135441,2005-08-24,2.585437774658203
0136738,2005-08-24,0
0136373,2005-08-24,0
0135752,2005-08-24,3.1690752506256104
0135746,2005-08-24,2.9873692989349365
0135774,2005-08-24,3.638193368911743
0135958,2005-08-24,2.677685022354126
0135023,2005-08-24,4.424633502960205
0135205,2005-08-24,3.201345682144165
0135211,2005-08-24,3.494823932647705
0135222,2005-08-24,3.13977313041687
0135218,2005-08-24,3.7558517456054688
0135116,2005-08-24,3.5588855743408203
0135036,2005-08-24,3.100451707839966
0135062,2005-08-24,4.9852495193481445
0135544,2005-08-24,4.5169548988342285
0135586,2005-08-24,3.789574146270752
0135677,2005-08-24,0
0135614,2005-08-24,4.109156608581543
0135650,2005-08-24,4.329070568084717
0135651,2005-08-24,3.6921589374542236
0136877,2005-08-24,0
0136849,2005-08-24,0
0136865,2005-08-24,0
0135613,2005-08-24,4.87650728225708
0135611,2005-08-24,4.298659324645996
0135647,2005-08-24,3.8989150524139404
0135615,2005-08-24,5.131399154663086
0135801,2005-08-24,4.499294281005859
0135808,2005-08-24,4.645667552947998
0136783,2005-08-24,0
0136748,2005-08-24,0
0136521,2005-08-24,0
0136444,2005-08-24,0
0136117,2005-08-24,0
0136110,2005-08-24,0
0136756,2005-08-24,1.3429797887802124
0135461,2005-08-24,4.430018901824951
0135004,2005-08-24,3.079806089401245
0135052,2005-08-24,3.2141013145446777
0135186,2005-08-24,0.49676480889320374
0135470,2005-08-24,0
0135453,2005-08-24,5.098067760467529
0135405,2005-08-24,4.722245693206787
0135503,2005-08-24,3.7412853240966797
0135578,2005-08-24,5.0568060874938965
0136585,2005-08-24,0
0136539,2005-08-24,0
0136723,2005-08-24,0
0135572,2005-08-24,5.641594886779785
0136066,2005-08-24,0
0136551,2005-08-24,0
0136535,2005-08-24,0
0136542,2005-08-24,0
0136374,2005-08-24,0
0135115,2005-08-24,2.315605878829956
0135180,2005-08-24,4.832862854003906
0135976,2005-08-24,3.3612024784088135
0136042,2005-08-24,0
0136277,2005-08-24,0
0136862,2005-08-24,0
0136850,2005-08-24,0
0136801,2005-08-24,0
0130165,2005-08-24,7.12932014465332
0135903,2005-08-24,5.4390549659729
0135085,2005-08-24,0.9521531462669373
0136482,2005-08-24,0
0135150,2005-08-24,0
0136318,2005-08-24,0
0135674,2005-08-24,1.3425546884536743
0135646,2005-08-24,2.662912130355835
0136421,2005-08-24,0
0136426,2005-08-24,0
0136420,2005-08-24,0
0136035,2005-08-24,0
0136041,2005-08-24,0
0135179,2005-08-24,6.219668388366699
0135087,2005-08-24,5.099620342254639
0135541,2005-08-24,5.663436412811279
0136352,2005-08-24,0
0135954,2005-08-24,5.303793907165527
0135555,2005-08-24,5.632091522216797
0135549,2005-08-24,5.542107105255127
0136344,2005-08-24,0
0136740,2005-08-24,0.31390923261642456
0136742,2005-08-24,0
0136320,2005-08-24,0
0135772,2005-08-24,2.8946168422698975
0135209,2005-08-24,3.2298197746276855
0135210,2005-08-24,3.07232403755188
0135214,2005-08-24,3.5883119106292725
0135224,2005-08-24,3.8892085552215576
0135208,2005-08-24,3.5076677799224854
0135444,2005-08-24,5.567009925842285
0135229,2005-08-24,3.0913612842559814
0135080,2005-08-24,3.1816229820251465
0135648,2005-08-24,2.9221715927124023
0136870,2005-08-24,0
0136866,2005-08-24,0
0136043,2005-08-24,0
0135810,2005-08-24,4.3389973640441895
0135802,2005-08-24,4.608849048614502
0135750,2005-08-24,2.7644503116607666
0135896,2005-08-24,4.859375
0136754,2005-08-24,0
0136728,2005-08-24,0
0136736,2005-08-24,0
0136786,2005-08-24,0
0136505,2005-08-24,0
0136603,2005-08-24,0
0136609,2005-08-24,0
0136513,2005-08-24,0
0136616,2005-08-24,0
0136470,2005-08-24,0
0136106,2005-08-24,0
0135670,2005-08-24,4.724931240081787
0136869,2005-08-24,0
0135125,2005-08-24,3.3751704692840576
0135078,2005-08-24,0.5178385972976685
0135124,2005-08-24,2.921992301940918
0135176,2005-08-24,2.8454673290252686
0136925,2005-08-24,0
0135014,2005-08-24,0.008327924646437168
0135473,2005-08-24,5.478668689727783
0135404,2005-08-24,5.460219860076904
0135406,2005-08-24,5.819998264312744
0135579,2005-08-24,4.726443767547607
0135587,2005-08-24,4.816681861877441
0136569,2005-08-24,0
0136553,2005-08-24,0
0136720,2005-08-24,0
0136766,2005-08-24,0
0135577,2005-08-24,6.690066337585449
0136003,2005-08-24,0
0136006,2005-08-24,0
0136561,2005-08-24,0
0136555,2005-08-24,0
0136311,2005-08-24,0
0135034,2005-08-24,2.5989794731140137
0136792,2005-08-24,1.8577526807785034
0135456,2005-08-24,4.273322105407715
0136750,2005-08-24,0.45144301652908325
0135121,2005-08-24,4.627896308898926
0135049,2005-08-24,6.085659503936768
0135079,2005-08-24,6.510107517242432
0136089,2005-08-24,0
0136030,2005-08-24,0
0136207,2005-08-24,0
0136206,2005-08-24,0
0136271,2005-08-24,3.814208745956421
0135984,2005-08-24,5.246528148651123
0135040,2005-08-24,1.5709747076034546
0136915,2005-08-24,0
0136545,2005-08-24,0
0136258,2005-08-24,0.6819525361061096
0136251,2005-08-24,0.33010247349739075
0136267,2005-08-24,0
0135082,2005-08-24,0
0136264,2005-08-24,2.6462347507476807
0136269,2005-08-24,3.43122935295105
0136467,2005-08-24,0
0136351,2005-08-24,0
0136360,2005-08-24,0
0135653,2005-08-24,1.5851906538009644
0136432,2005-08-24,0
0136401,2005-08-24,0
0136475,2005-08-24,0
0136471,2005-08-24,0
0135010,2005-08-24,0
0136036,2005-08-24,0
0135058,2005-08-24,7.268610000610352
0135055,2005-08-24,8.124156951904297
0136759,2005-08-24,0.11312676221132278
0135963,2005-08-24,5.310869216918945
0135968,2005-08-24,5.242014408111572
0135951,2005-08-24,3.754241466522217
0135546,2005-08-24,5.491018295288086
0135564,2005-08-24,4.553953170776367
0135463,2005-08-24,4.0915679931640625
0136319,2005-08-24,0
0135745,2005-08-24,2.546506881713867
0135764,2005-08-24,3.8892822265625
0135022,2005-08-24,3.597388982772827
0135064,2005-08-24,3.647021770477295
0135223,2005-08-24,3.018662452697754
0135204,2005-08-24,3.279975652694702
0135213,2005-08-24,3.054565906524658
0135071,2005-08-24,3.3175103664398193
0135234,2005-08-24,3.136575222015381
0135119,2005-08-24,3
0135006,2005-08-24,5.0197978019714355
0135139,2005-08-24,3.960306406021118
0135592,2005-08-24,4.12443208694458
0135570,2005-08-24,3.7862815856933594
0135749,2005-08-24,4.572022438049316
0135741,2005-08-24,4.521536827087402
0135803,2005-08-24,3.98512864112854
0135548,2005-08-24,6.400947570800781
0136613,2005-08-24,0
0136525,2005-08-24,0
0136509,2005-08-24,0
0136571,2005-08-24,0
0136587,2005-08-24,0
0136512,2005-08-24,0
0136688,2005-08-24,0
0136753,2005-08-24,0
0136439,2005-08-24,0
0136107,2005-08-24,0
0135601,2005-08-24,4.548018455505371
0136263,2005-08-24,3.3586044311523438
0135120,2005-08-24,3.6162707805633545
0136581,2005-08-24,0
0136538,2005-08-24,0
0136584,2005-08-24,0
0135553,2005-08-24,5.8049116134643555
0135575,2005-08-24,6.259458065032959
0136758,2005-08-24,0.505744218826294
0136091,2005-08-24,0
0136567,2005-08-24,0
0136549,2005-08-24,0
0136580,2005-08-24,0
0136564,2005-08-24,0
0136793,2005-08-24,1.7692614793777466
0135133,2005-08-24,4.623135566711426
0136029,2005-08-24,0
0136205,2005-08-24,0
0136879,2005-08-24,0
0135045,2005-08-24,0
0135171,2005-08-24,0.03927173465490341
0136916,2005-08-24,0
0136922,2005-08-24,0
0136913,2005-08-24,0
0136727,2005-08-24,0
0136524,2005-08-24,0
0136266,2005-08-24,1.3139840364456177
0136255,2005-08-24,0.6849332451820374
0136010,2005-08-24,0
0136346,2005-08-24,0
0135654,2005-08-24,3.0095725059509277
0136038,2005-08-24,0
0135053,2005-08-24,6.592154502868652
0135019,2005-08-24,5.485930919647217
0136350,2005-08-24,0
0136775,2005-08-24,0
0136761,2005-08-24,0
0135978,2005-08-24,3.0512638092041016
0135971,2005-08-24,4.1697211265563965
0135979,2005-08-24,2.5190439224243164
0135972,2005-08-24,4.476899147033691
0135904,2005-08-24,5.580744743347168
0135956,2005-08-24,4.526207447052002
0135582,2005-08-24,0
0135464,2005-08-24,1.4608478546142578
0136776,2005-08-24,1.8161377906799316
0136343,2005-08-24,0
0135769,2005-08-24,3.565645694732666
0135020,2005-08-24,3.6678895950317383
0135216,2005-08-24,3.2264132499694824
0135243,2005-08-24,3.11228084564209
0135173,2005-08-24,3.250793218612671
0135244,2005-08-24,3.294158935546875
0135242,2005-08-24,2.9680824279785156
0135094,2005-08-24,2.9750773906707764
0135148,2005-08-24,4.924138069152832
0135645,2005-08-24,2.6361165046691895
0135643,2005-08-24,3.8942770957946777
0135671,2005-08-24,4.9559149742126465
0135739,2005-08-24,3.8154876232147217
0136088,2005-08-24,0
0136582,2005-08-24,0
0136619,2005-08-24,0
0136541,2005-08-24,0
0136572,2005-08-24,0
0136568,2005-08-24,0
0136445,2005-08-24,0
0136425,2005-08-24,0
0136109,2005-08-24,0
0136108,2005-08-24,0
0136064,2005-08-24,0
0136112,2005-08-24,0
0136859,2005-08-24,0
0136875,2005-08-24,0
0135054,2005-08-24,2.5629422664642334
0135007,2005-08-24,2.4662020206451416
0135147,2005-08-24,2.5430309772491455
0135477,2005-08-24,2.611739158630371
0136901,2005-08-24,0
0135452,2005-08-24,5.160942554473877
0135504,2005-08-24,3.9095563888549805
0136518,2005-08-24,0
0136749,2005-08-24,0.12502843141555786
0136022,2005-08-24,0
0136527,2005-08-24,0
0136578,2005-08-24,0
0136532,2005-08-24,0
0136511,2005-08-24,0
0135188,2005-08-24,4.663041114807129
0135074,2005-08-24,4.582518100738525
0135031,2005-08-24,6.271821975708008
0135097,2005-08-24,5.654358386993408
