geoid,date,mean_prcp
0136530,2018-10-07,0
0136550,2018-10-07,0
0136576,2018-10-07,0
0136053,2018-10-07,0
0136017,2018-10-07,0
0136317,2018-10-07,0
0135184,2018-10-07,0
0135111,2018-10-07,0
0135957,2018-10-07,0
0136052,2018-10-07,0
0136032,2018-10-07,0
0136203,2018-10-07,0
0136855,2018-10-07,0
0136863,2018-10-07,0
0135959,2018-10-07,0
0136790,2018-10-07,0
0136558,2018-10-07,0
0136784,2018-10-07,0
0136446,2018-10-07,0
0136751,2018-10-07,0
0136256,2018-10-07,0
0136330,2018-10-07,0
0136034,2018-10-07,0
0135089,2018-10-07,0
0135183,2018-10-07,0
0136080,2018-10-07,0
0136455,2018-10-07,0
0136476,2018-10-07,0
0136046,2018-10-07,0
0135622,2018-10-07,0
0135033,2018-10-07,0
0135619,2018-10-07,0
0135771,2018-10-07,0
0135975,2018-10-07,0
0135594,2018-10-07,0
0135585,2018-10-07,0
0136375,2018-10-07,0
0135469,2018-10-07,0
0135441,2018-10-07,0
0136738,2018-10-07,0
0136373,2018-10-07,0
0135752,2018-10-07,0
0135746,2018-10-07,0
0135774,2018-10-07,0
0135958,2018-10-07,0
0135023,2018-10-07,0
0135205,2018-10-07,0
0135211,2018-10-07,0
0135222,2018-10-07,0
0135218,2018-10-07,0
0135116,2018-10-07,0
0135036,2018-10-07,0
0135062,2018-10-07,0
0135544,2018-10-07,0
0135586,2018-10-07,0
0135677,2018-10-07,0
0135614,2018-10-07,0
0135650,2018-10-07,0
0135651,2018-10-07,0
0136877,2018-10-07,0
0136849,2018-10-07,0
0136865,2018-10-07,0
0135613,2018-10-07,0
0135611,2018-10-07,0
0135647,2018-10-07,0
0135615,2018-10-07,0
0135801,2018-10-07,0
0135808,2018-10-07,0
0136783,2018-10-07,0
0136748,2018-10-07,0
0136521,2018-10-07,0
0136444,2018-10-07,0
0136117,2018-10-07,0
0136110,2018-10-07,0
0136756,2018-10-07,0
0135461,2018-10-07,0
0135004,2018-10-07,0
0135052,2018-10-07,0
0135186,2018-10-07,0
0135470,2018-10-07,0
0135453,2018-10-07,0
0135405,2018-10-07,0
0135503,2018-10-07,0
0135578,2018-10-07,0
0136585,2018-10-07,0
0136539,2018-10-07,0
0136723,2018-10-07,0
0135572,2018-10-07,0
0136066,2018-10-07,0
0136551,2018-10-07,0
0136535,2018-10-07,0
0136542,2018-10-07,0
0136374,2018-10-07,0
0135115,2018-10-07,0
0135180,2018-10-07,0
0135976,2018-10-07,0
0136042,2018-10-07,0
0136277,2018-10-07,0
0136862,2018-10-07,0
0136850,2018-10-07,0
0136801,2018-10-07,0
0130165,2018-10-07,0
0135903,2018-10-07,0
0135085,2018-10-07,0
0136482,2018-10-07,0
0135150,2018-10-07,0
0136318,2018-10-07,0
0135674,2018-10-07,0
0135646,2018-10-07,0
0136421,2018-10-07,0
0136426,2018-10-07,0
0136420,2018-10-07,0
0136035,2018-10-07,0
0136041,2018-10-07,0
0135179,2018-10-07,0
0135087,2018-10-07,0
0135541,2018-10-07,0
0136352,2018-10-07,0
0135954,2018-10-07,0
0135555,2018-10-07,0
0135549,2018-10-07,0
0136344,2018-10-07,0
0136740,2018-10-07,0
0136742,2018-10-07,0
0136320,2018-10-07,0
0135772,2018-10-07,0
0135209,2018-10-07,0
0135210,2018-10-07,0
0135214,2018-10-07,0
0135224,2018-10-07,0
0135208,2018-10-07,0
0135444,2018-10-07,0
0135229,2018-10-07,0
0135080,2018-10-07,0
0135648,2018-10-07,0
0136870,2018-10-07,0
0136866,2018-10-07,0
0136043,2018-10-07,0
0135810,2018-10-07,0
0135802,2018-10-07,0
0135750,2018-10-07,0
0135896,2018-10-07,0
0136754,2018-10-07,0
0136728,2018-10-07,0
0136736,2018-10-07,0
0136786,2018-10-07,0
0136505,2018-10-07,0
0136603,2018-10-07,0
0136609,2018-10-07,0
0136513,2018-10-07,0
0136616,2018-10-07,0
0136470,2018-10-07,0
0136106,2018-10-07,0
0135670,2018-10-07,0
0136869,2018-10-07,0
0135125,2018-10-07,0
0135078,2018-10-07,0
0135124,2018-10-07,0
0135176,2018-10-07,0
0136925,2018-10-07,0
0135014,2018-10-07,0
0135473,2018-10-07,0
0135404,2018-10-07,0
0135406,2018-10-07,0
0135579,2018-10-07,0
0135587,2018-10-07,0
0136569,2018-10-07,0
0136553,2018-10-07,0
0136720,2018-10-07,0
0136766,2018-10-07,0
0135577,2018-10-07,0
0136003,2018-10-07,0
0136006,2018-10-07,0
0136561,2018-10-07,0
0136555,2018-10-07,0
0136311,2018-10-07,0
0135034,2018-10-07,0
0136792,2018-10-07,0
0135456,2018-10-07,0
0136750,2018-10-07,0
0135121,2018-10-07,0
0135049,2018-10-07,0
0135079,2018-10-07,0
0136089,2018-10-07,0
0136030,2018-10-07,0
0136207,2018-10-07,0
0136206,2018-10-07,0
0136271,2018-10-07,0
0135984,2018-10-07,0
0135040,2018-10-07,0
0136915,2018-10-07,0
0136545,2018-10-07,0
0136258,2018-10-07,0
0136251,2018-10-07,0
0136267,2018-10-07,0
0135082,2018-10-07,0
0136264,2018-10-07,0
0136269,2018-10-07,0
0136467,2018-10-07,0
0136351,2018-10-07,0
0136360,2018-10-07,0
0135653,2018-10-07,0
0136432,2018-10-07,0
0136401,2018-10-07,0
0136475,2018-10-07,0
0136471,2018-10-07,0
0135010,2018-10-07,0
0136036,2018-10-07,0
0135058,2018-10-07,0
0135055,2018-10-07,0
0136759,2018-10-07,0
0135963,2018-10-07,0
0135968,2018-10-07,0
0135951,2018-10-07,0
0135546,2018-10-07,0
0135564,2018-10-07,0
0135463,2018-10-07,0
0136319,2018-10-07,0
0135745,2018-10-07,0
0135764,2018-10-07,0
0135022,2018-10-07,0
0135064,2018-10-07,0
0135223,2018-10-07,0
0135204,2018-10-07,0
0135213,2018-10-07,0
0135071,2018-10-07,0
0135234,2018-10-07,0
0135119,2018-10-07,0
0135006,2018-10-07,0
0135139,2018-10-07,0
0135592,2018-10-07,0
0135570,2018-10-07,0
0135749,2018-10-07,0
0135741,2018-10-07,0
0135803,2018-10-07,0
0135548,2018-10-07,0
0136613,2018-10-07,0
0136525,2018-10-07,0
0136509,2018-10-07,0
0136571,2018-10-07,0
0136587,2018-10-07,0
0136512,2018-10-07,0
0136688,2018-10-07,0
0136753,2018-10-07,0
0136439,2018-10-07,0
0136107,2018-10-07,0
0135601,2018-10-07,0
0136263,2018-10-07,0
0135120,2018-10-07,0
0136581,2018-10-07,0
0136538,2018-10-07,0
0136584,2018-10-07,0
0135553,2018-10-07,0
0135575,2018-10-07,0
0136758,2018-10-07,0
0136091,2018-10-07,0
0136567,2018-10-07,0
0136549,2018-10-07,0
0136580,2018-10-07,0
0136564,2018-10-07,0
0136793,2018-10-07,0
0135133,2018-10-07,0
0136029,2018-10-07,0
0136205,2018-10-07,0
0136879,2018-10-07,0
0135045,2018-10-07,0
0135171,2018-10-07,0
